Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTCM QA Automation,Chrome 72.0.3626.121,,2019-03-25 15:38:05,2019-03-25 15:42:04,3m - 59.154s,ERROR
,,,,,,
Test Cases/DTCM/Login and logout/DTCM Invalid Login Scenario,Chrome 72.0.3626.121,,2019-03-25 15:38:05,2019-03-25 15:38:27,21.186s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 72.0.3626.121,,2019-03-25 15:38:06,2019-03-25 15:38:14,8.445s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-25 15:38:14,2019-03-25 15:38:14,0.008s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 72.0.3626.121,,2019-03-25 15:38:14,2019-03-25 15:38:14,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.121,,2019-03-25 15:38:14,2019-03-25 15:38:14,0.106s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-25 15:38:14,2019-03-25 15:38:15,1.219s,PASSED
"CurrentURL = ""https://qacd2.testvisitdubai.com/en/account/login?v=78798789""",Chrome 72.0.3626.121,,2019-03-25 15:38:15,2019-03-25 15:38:15,0.001s,PASSED
"username = ""muhammad.saad@ovrlod.com""",Chrome 72.0.3626.121,,2019-03-25 15:38:15,2019-03-25 15:38:15,0.000s,PASSED
"password = ""Qwerty##1244""",Chrome 72.0.3626.121,,2019-03-25 15:38:15,2019-03-25 15:38:15,0.000s,PASSED
selenium.open(CurrentURL),Chrome 72.0.3626.121,,2019-03-25 15:38:15,2019-03-25 15:38:22,7.059s,PASSED
"selenium.click(""id=tbUsername"")",Chrome 72.0.3626.121,,2019-03-25 15:38:22,2019-03-25 15:38:23,0.120s,PASSED
Thread.sleep(1500),Chrome 72.0.3626.121,,2019-03-25 15:38:23,2019-03-25 15:38:24,1.505s,PASSED
"selenium.type(""id=tbUsername"", username)",Chrome 72.0.3626.121,,2019-03-25 15:38:24,2019-03-25 15:38:24,0.053s,PASSED
"selenium.type(""id=tbPassword"", password)",Chrome 72.0.3626.121,,2019-03-25 15:38:24,2019-03-25 15:38:24,0.064s,PASSED
Thread.sleep(1500),Chrome 72.0.3626.121,,2019-03-25 15:38:24,2019-03-25 15:38:26,1.501s,PASSED
"selenium.click(""id=plhcontent_0_lbtnSubmit"")",Chrome 72.0.3626.121,,2019-03-25 15:38:26,2019-03-25 15:38:26,0.300s,PASSED
Thread.sleep(500),Chrome 72.0.3626.121,,2019-03-25 15:38:26,2019-03-25 15:38:26,0.500s,PASSED
locationNow = location,Chrome 72.0.3626.121,,2019-03-25 15:38:26,2019-03-25 15:38:27,0.017s,PASSED
if (CurrentURL == locationNow),Chrome 72.0.3626.121,,2019-03-25 15:38:27,2019-03-25 15:38:27,0.000s,PASSED
else,Chrome 72.0.3626.121,,2019-03-25 15:38:27,2019-03-25 15:38:27,0.012s,PASSED
,,,,,,
Test Cases/DTCM/Language Change/DTCM Language Change Eng-Fr-Eng,Chrome 72.0.3626.121,,2019-03-25 15:38:27,2019-03-25 15:38:33,6.297s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 72.0.3626.121,,2019-03-25 15:38:27,2019-03-25 15:38:31,4.674s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-25 15:38:31,2019-03-25 15:38:31,0.000s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 72.0.3626.121,,2019-03-25 15:38:31,2019-03-25 15:38:31,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.121,,2019-03-25 15:38:31,2019-03-25 15:38:31,0.015s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-25 15:38:31,2019-03-25 15:38:33,1.121s,PASSED
"selenium.open(""https://qacd2.testvisitdubai.com/en/account/login?v=78798789"")",Chrome 72.0.3626.121,,2019-03-25 15:38:33,2019-03-25 15:38:33,0.242s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-25 15:38:33,2019-03-25 15:38:33,0.005s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='English'])[2]/following::span[1]"")",Chrome 72.0.3626.121,,2019-03-25 15:38:33,2019-03-25 15:38:33,0.078s,ERROR
,,,,,,
Test Cases/DTCM/Language Change/Language Change Az-Fr-Az,Chrome 72.0.3626.121,,2019-03-25 15:38:33,2019-03-25 15:39:43,1m - 9.876s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 72.0.3626.121,,2019-03-25 15:38:33,2019-03-25 15:38:38,5.066s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-25 15:38:38,2019-03-25 15:38:38,0.000s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 72.0.3626.121,,2019-03-25 15:38:38,2019-03-25 15:38:38,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.121,,2019-03-25 15:38:38,2019-03-25 15:38:38,0.017s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-25 15:38:38,2019-03-25 15:38:39,1.124s,PASSED
"selenium.open(""https://qacd2.testvisitdubai.com/en/account/login?v=78798789"")",Chrome 72.0.3626.121,,2019-03-25 15:38:39,2019-03-25 15:38:49,9.552s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.005s,PASSED
"CurrentURL = ""https://qacd2.testvisitdubai.com/en/account/login?v=78798789""",Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.000s,PASSED
locationNow = location,Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.007s,PASSED
"CssSelector = ""css=.dd-options:first li""",Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.000s,PASSED
"dropdown = ""xpath=(.//*[normalize-space(text()) and normalize-space(.)=""",Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.000s,PASSED
"selenium.click(dropdown + ""'English'])[2]/following::span[1]"")",Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:49,0.145s,PASSED
Thread.sleep(4000),Chrome 72.0.3626.121,,2019-03-25 15:38:49,2019-03-25 15:38:53,4.001s,PASSED
"selenium.click(CssSelector + "":nth-child(3) .dd-option"")",Chrome 72.0.3626.121,,2019-03-25 15:38:53,2019-03-25 15:39:02,8.584s,PASSED
if (CurrentURL != location),Chrome 72.0.3626.121,,2019-03-25 15:39:02,2019-03-25 15:39:02,0.021s,PASSED
Thread.sleep(10000),Chrome 72.0.3626.121,,2019-03-25 15:39:02,2019-03-25 15:39:12,10.001s,PASSED
out.println(locationNow),Chrome 72.0.3626.121,,2019-03-25 15:39:12,2019-03-25 15:39:12,0.001s,PASSED
"selenium.click(dropdown + ""'Azərbaycan'])[2]/following::span[1]"")",Chrome 72.0.3626.121,,2019-03-25 15:39:12,2019-03-25 15:39:12,0.136s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-25 15:39:12,2019-03-25 15:39:14,2.001s,PASSED
